ESP	EP	RESP
PAS21	0	0
PAS21	2	18.45709494
PAS21	4	42.14106028
PAS21	6	63.40
PAS21	8	77.91
PAS21	12	91.67
PAS21	16	95.46
PAS21	20	97.07
PAS21	24	98.69
PAS21	0	0
PAS21	2	14.40556774
PAS21	4	41.17647059
PAS21	6	65.44
PAS21	8	81.43
PAS21	12	94.53
PAS21	16	98.26
PAS21	20	99.79
PAS21	24	101.30
PAS21	0	0
PAS21	2	17.36
PAS21	4	40.32
PAS21	6	66.21
PAS21	8	78.12
PAS21	12	95.51
PAS21	16	100.17
PAS21	20	103.08
PAS21	24	103.53
GBS21	0	0
GBS21	2	4.194008559
GBS21	4	18.87779363
GBS21	6	37.66
GBS21	8	60.63
GBS21	12	86.49
GBS21	16	93.91
GBS21	20	96.60
GBS21	24	97.94
GBS21	0	0
GBS21	2	3.892021818
GBS21	4	14.20911528
GBS21	6	32.03
GBS21	8	54.31
GBS21	12	83.98
GBS21	16	97.37
GBS21	20	99.12
GBS21	24	100.17
GBS21	0	0
GBS21	2	3.91
GBS21	4	18.2
GBS21	6	31.23
GBS21	8	53.36
GBS21	12	78.89
GBS21	16	79.36
GBS21	20	100.24
GBS21	24	100.63
PVS21	0	0
PVS21	2	33.99788115
PVS21	4	73.18694019
PVS21	6	90.68
PVS21	8	98.73
PVS21	12	104.00
PVS21	16	105.45
PVS21	20	105.05
PVS21	24	104.99
PVS21	0	0
PVS21	2	27.33952049
PVS21	4	60.34416087
PVS21	6	79.16
PVS21	8	89.32
PVS21	12	98.68
PVS21	16	100.89
PVS21	20	101.82
PVS21	24	102.46
PVS21	0	0
PVS21	2	28.91
PVS21	4	72.561
PVS21	6	80.31
PVS21	8	88.99
PVS21	12	100.00
PVS21	16	105.04
PVS21	20	105.55
PVS21	24	104.50
