ID,TEMPOS,TRATAMENTO EM EVIDENCIA,TRATAMENTO COMPARADO,VALUE,STD.ERROR,DF,T.VALUE,P.VALUE,SIGN.
1,0,PVS21,GBS21,-1.11232146362548e-14,1.63508654526449,52,-6.8028292866024e-15,0.999999999999995,NS
2,2,PVS21,GBS21,-24.7629297354914,1.63508654526449,52,-15.1447211202425,1.04611472427014e-20,*
3,4,PVS21,GBS21,-46.5781242643747,1.63508654526449,52,-28.486641517095,2.12930058433498e-33,*
4,6,PVS21,GBS21,-48.1123145080904,1.63508654526449,52,-29.4249345072483,4.34852402188358e-34,*
5,8,PVS21,GBS21,-35.3944411532307,1.63508654526449,52,-21.6468304113562,1.12489575624874e-27,*
6,12,PVS21,GBS21,-19.0351352017004,1.63508654526449,52,-11.6416682999623,4.22352633609801e-16,*
7,16,PVS21,GBS21,-21.0880544060886,1.63508654526449,52,-12.8972099166026,7.89155158732897e-18,*
8,20,PVS21,GBS21,-5.35486943787707,1.63508654526449,52,-3.27497614935782,0.00188385402591168,*
9,24,PVS21,GBS21,-4.45140050400925,1.63508654526449,52,-2.72242500979617,0.00879879298468986,*
10,0,PVS21,PAS21,4.92669937894932e-14,1.63508654526449,52,3.0131122986841e-14,0.999999999999976,NS
11,2,PVS21,PAS21,-12.7510428757516,1.63508654526449,52,-7.79839019083179,2.6543332292053e-10,*
12,4,PVS21,PAS21,-21.5105996585229,1.63508654526449,52,-13.1556337007491,3.56703420457993e-18,*
13,6,PVS21,PAS21,-15.8243306572715,1.63508654526449,52,-9.67797741538618,3.17956877854595e-13,*
14,8,PVS21,PAS21,-11.3123091847647,1.63508654526449,52,-6.91847732312837,6.67575450459357e-09,*
15,12,PVS21,PAS21,-6.73847156357347,1.63508654526449,52,-4.12117119004454,0.00013579937453662,*
16,16,PVS21,PAS21,-5.61293480929016,1.63508654526449,52,-3.43280594262503,0.00117982171563118,*
17,20,PVS21,PAS21,-4.67271077435295,1.63508654526449,52,-2.85777580880106,0.00612220891560931,*
18,24,PVS21,PAS21,-3.38094921586544,1.63508654526449,52,-2.0677493956863,0.043655591675619,*
19,1,0,PVS21,GBS21,-1.11232146362548e-14,1.63508654526449,52,-6.8028292866024e-15,0.999999999999995
20,2,2,PVS21,GBS21,-24.7629297354914,1.63508654526449,52,-15.1447211202425,1.04611472427014e-20
21,3,4,PVS21,GBS21,-46.5781242643747,1.63508654526449,52,-28.486641517095,2.12930058433498e-33
22,4,6,PVS21,GBS21,-48.1123145080904,1.63508654526449,52,-29.4249345072483,4.34852402188358e-34
23,5,8,PVS21,GBS21,-35.3944411532307,1.63508654526449,52,-21.6468304113562,1.12489575624874e-27
24,6,12,PVS21,GBS21,-19.0351352017004,1.63508654526449,52,-11.6416682999623,4.22352633609801e-16
25,7,16,PVS21,GBS21,-21.0880544060886,1.63508654526449,52,-12.8972099166026,7.89155158732897e-18
26,8,20,PVS21,GBS21,-5.35486943787707,1.63508654526449,52,-3.27497614935782,0.00188385402591168
27,9,24,PVS21,GBS21,-4.45140050400925,1.63508654526449,52,-2.72242500979617,0.00879879298468986
28,10,0,PVS21,PAS21,4.92669937894932e-14,1.63508654526449,52,3.0131122986841e-14,0.999999999999976
29,11,2,PVS21,PAS21,-12.7510428757516,1.63508654526449,52,-7.79839019083179,2.6543332292053e-10
30,12,4,PVS21,PAS21,-21.5105996585229,1.63508654526449,52,-13.1556337007491,3.56703420457993e-18
31,13,6,PVS21,PAS21,-15.8243306572715,1.63508654526449,52,-9.67797741538618,3.17956877854595e-13
32,14,8,PVS21,PAS21,-11.3123091847647,1.63508654526449,52,-6.91847732312837,6.67575450459357e-09
33,15,12,PVS21,PAS21,-6.73847156357347,1.63508654526449,52,-4.12117119004454,0.00013579937453662
34,16,16,PVS21,PAS21,-5.61293480929016,1.63508654526449,52,-3.43280594262503,0.00117982171563118
35,17,20,PVS21,PAS21,-4.67271077435295,1.63508654526449,52,-2.85777580880106,0.00612220891560931
36,18,24,PVS21,PAS21,-3.38094921586544,1.63508654526449,52,-2.0677493956863,0.043655591675619
37,19,0,GBS21,PAS21,-1.25375085779875e-14,1.63508654526448,52,-7.66779508662617e-15,0.999999999999994
38,20,2,GBS21,PAS21,12.0118868597398,1.63508654526448,52,7.34633092941076,1.38806017395766e-09
39,21,4,GBS21,PAS21,25.0675246058518,1.63508654526448,52,15.331007816346,6.20984202422183e-21
40,22,6,GBS21,PAS21,32.2879838508189,1.63508654526448,52,19.7469570918622,8.02691488039807e-26
41,23,8,GBS21,PAS21,24.082131968466,1.63508654526448,52,14.7283530882279,3.4064796624662e-20
42,24,12,GBS21,PAS21,12.2966636381269,1.63508654526448,52,7.52049710991778,7.33183230500854e-10
43,25,16,GBS21,PAS21,15.4751195967985,1.63508654526448,52,9.46440397397763,6.71640606120749e-13
44,26,20,GBS21,PAS21,0.682158663524088,1.63508654526448,52,0.417200340556743,0.678249332573327
45,27,24,GBS21,PAS21,1.07045128814382,1.63508654526448,52,0.654675614109881,0.515562097315425
46,28,0,GBS21,PVS21,2.76216514152232e-15,1.63508654526448,52,1.68930822011965e-15,0.999999999999999
47,29,2,GBS21,PVS21,24.7629297354914,1.63508654526448,52,15.1447211202426,1.04611472426988e-20
48,30,4,GBS21,PVS21,46.5781242643747,1.63508654526448,52,28.4866415170951,2.12930058433434e-33
49,31,6,GBS21,PVS21,48.1123145080904,1.63508654526448,52,29.4249345072485,4.34852402188228e-34
50,32,8,GBS21,PVS21,35.3944411532307,1.63508654526448,52,21.6468304113563,1.12489575624841e-27
51,33,12,GBS21,PVS21,19.0351352017004,1.63508654526448,52,11.6416682999623,4.22352633609699e-16
52,34,16,GBS21,PVS21,21.0880544060886,1.63508654526448,52,12.8972099166027,7.891551587327e-18
53,35,20,GBS21,PVS21,5.35486943787708,1.63508654526448,52,3.27497614935785,0.00188385402591153
54,36,24,GBS21,PVS21,4.45140050400927,1.63508654526448,52,2.72242500979619,0.00879879298468922
55,0,GBS21,PAS21,-1.25375085779875e-14,1.63508654526448,52,-7.66779508662617e-15,0.999999999999994,NS
56,2,GBS21,PAS21,12.0118868597398,1.63508654526448,52,7.34633092941076,1.38806017395766e-09,*
57,4,GBS21,PAS21,25.0675246058518,1.63508654526448,52,15.331007816346,6.20984202422183e-21,*
58,6,GBS21,PAS21,32.2879838508189,1.63508654526448,52,19.7469570918622,8.02691488039807e-26,*
59,8,GBS21,PAS21,24.082131968466,1.63508654526448,52,14.7283530882279,3.4064796624662e-20,*
60,12,GBS21,PAS21,12.2966636381269,1.63508654526448,52,7.52049710991778,7.33183230500854e-10,*
61,16,GBS21,PAS21,15.4751195967985,1.63508654526448,52,9.46440397397763,6.71640606120749e-13,*
62,20,GBS21,PAS21,0.682158663524088,1.63508654526448,52,0.417200340556743,0.678249332573327,NS
