ESP,EP,RESP
MBS21,0,0
MBS21,0,0
MBS21,0,0
MRS21,0,0
MRS21,0,0
MRS21,0,0
QTS21,0,0
QTS21,0,0
QTS21,0,0
CMS21,0,0
CMS21,0,0
CMS21,0,0
CPS21,0,0
CPS21,0,0
CPS21,0,0
PPS21,0,0
PPS21,0,0
PPS21,0,0
CVS21,0,0
CVS21,0,0
CVS21,0,0
MBS21,1,11.0963707
MBS21,1,9.558605708
MBS21,1,10.65887761
MRS21,1,18.16216216
MRS21,1,19.1091954
MRS21,1,20.46727167
QTS21,1,63.7919684
QTS21,1,66.78032148
QTS21,1,67.97741873
CMS21,1,11.01317319
CMS21,1,12.42802303
CMS21,1,9.103760249
CPS21,1,54.94896526
CPS21,1,58.49750212
CPS21,1,56.30259959
PPS21,1,20.39594399
PPS21,1,18.55778415
PPS21,1,21.18933698
CVS21,1,62.15479992
CVS21,1,63.12650313
CVS21,1,57.27491574
MBS21,2,36.04662181
MBS21,2,35.40041473
MBS21,2,35.54874545
MRS21,2,63.70515971
MRS21,2,68.61111111
MRS21,2,63.99884148
QTS21,2,86.57011192
QTS21,2,86.65367755
QTS21,2,87.63869963
CMS21,2,35.29639675
CMS21,2,36.46833013
CMS21,2,32.86212421
CPS21,2,88.30414833
CPS21,2,89.10359129
CPS21,2,88.423415
PPS21,2,60.79188798
PPS21,2,59.17860554
PPS21,2,59.7207304
CVS21,2,93.49990607
CVS21,2,93.70851371
CVS21,2,95.03129514
MBS21,3,62.43722164
MBS21,3,62.30867977
MBS21,3,62.80406052
MRS21,3,88.22604423
MRS21,3,91.36015326
MRS21,3,87.9706507
QTS21,3,92.64553748
QTS21,3,91.95323916
QTS21,3,93.46895075
CMS21,3,65.74002325
CMS21,3,64.21305182
CMS21,3,62.60484403
CPS21,3,97.88369698
CPS21,3,97.16278631
CPS21,3,98.70955676
PPS21,3,88.23756639
PPS21,3,85.79751671
PPS21,3,87.91133678
CVS21,3,103.6257749
CVS21,3,104.5791246
CVS21,3,105.5272027
MBS21,4,85.39751729
MBS21,4,85.06961588
MBS21,4,82.39513503
MRS21,4,98.07371007
MRS21,4,104.3103448
MRS21,4,105.2326704
QTS21,4,96.59550456
QTS21,4,96.20068193
QTS21,4,97.13840763
CMS21,4,94.51762883
CMS21,4,93.78119002
CMS21,4,90.57581755
CPS21,4,101.5263601
CPS21,4,101.5835611
CPS21,4,100.1028614
PPS21,4,101.187832
PPS21,4,100.0573066
PPS21,4,100.712821
CVS21,4,108.8765734
CVS21,4,109.5045695
CVS21,4,108.5122773
MBS21,6,99.77257652
MBS21,6,98.91379481
MBS21,6,95.98735874
MRS21,6,110.3783784
MRS21,6,110.2681992
MRS21,6,109.1813091
QTS21,6,99.40750494
QTS21,6,98.82123721
QTS21,6,98.71520343
CMS21,6,113.3765982
CMS21,6,113.6276392
CMS21,6,113.2786731
CPS21,6,104.3543403
CPS21,6,103.5535866
CPS21,6,102.2723022
PPS21,6,107.5808788
PPS21,6,106.5902579
PPS21,6,105.0483351
CVS21,6,113.4510614
CVS21,6,114.1991342
CVS21,6,109.9277805
MBS21,8,100.7201744
MBS21,8,99.28902933
MBS21,8,99.54031795
MRS21,8,113.1597052
MRS21,8,112.5
MRS21,8,113.2940722
QTS21,8,100.1504749
QTS21,8,99.09400877
QTS21,8,99.22133541
CMS21,8,116.4858582
CMS21,8,116.4587332
CMS21,8,115.7666572
CPS21,8,105.3094859
CPS21,8,105.0994439
CPS21,8,104.4136899
PPS21,8,107.9768228
PPS21,8,108.2999045
PPS21,8,107.2356215
CVS21,8,114.4467406
CVS21,8,114.0836941
CVS21,8,111.5262398
MBS21,12,100.890742
MBS21,12,100.5431026
MBS21,12,100.1244972
MRS21,12,114.3980344
MRS21,12,114.5498084
MRS21,12,113.2747635
QTS21,12,101.0439199
QTS21,12,99.24013639
QTS21,12,100.4671988
CMS21,12,116.418055
CMS21,12,117.1017274
CMS21,12,117.0671944
CPS21,12,104.607173
CPS21,12,104.1285701
CPS21,12,104.9092949
PPS21,12,107.4263641
PPS21,12,109.1117479
PPS21,12,107.5578557
CVS21,12,114.7473229
CVS21,12,114.006734
CVS21,12,113.5580164
MBS21,16,98.41751161
MBS21,16,99.03228992
MBS21,16,100.1244972
MRS21,16,111.7346437
MRS21,16,108.6494253
MRS21,16,109.0847654
QTS21,16,90.77400545
QTS21,16,92.14807599
QTS21,16,96.06774382
CMS21,16,108.8047269
CMS21,16,104.1458733
CMS21,16,102.8272547
CPS21,16,91.60970128
CPS21,16,93.68460741
CPS21,16,97.29755003
PPS21,16,98.7252535
PPS21,16,100.0191022
PPS21,16,103.6129284
CVS21,16,106.1807252
CVS21,16,105.1370851
CVS21,16,106.0548869
