ESP	EP	RESP
MBT0	0	0
MBT0	1	34.51695155
MBT0	2	58.22079516
MBT0	3	80.13032392
MBT0	4	96.43025781
MBT0	6	101.9926339
MBT0	8	105.9873454
MBT0	12	110.0859382
MBT0	16	107.432241
MBT0	0	0
MBT0	1	37.6494408
MBT0	2	61.65638257
MBT0	3	85.43193212
MBT0	4	98.45738527
MBT0	6	103.8854609
MBT0	8	105.8233706
MBT0	12	113.5268029
MBT0	16	109.9595064
MBT0	0	0
MBT0	1	36.76914372
MBT0	2	59.71331573
MBT0	3	84.04375707
MBT0	4	96.94454923
MBT0	6	101.1976613
MBT0	8	103.2063372
MBT0	12	109.7698982
MBT0	16	106.0165975
MRT0	0	0
MRT0	1	15.34624413
MRT0	2	67.89906103
MRT0	3	98.4741784
MRT0	4	106.2010955
MRT0	6	109.8395931
MRT0	8	112.0402973
MRT0	12	112.3630673
MRT0	16	112.079421
MRT0	0	0
MRT0	1	17.19130689
MRT0	2	65.70509697
MRT0	3	101.1694767
MRT0	4	107.582107
MRT0	6	111.1392652
MRT0	8	113.3710165
MRT0	12	113.3515252
MRT0	16	114.1604132
MRT0	0	0
MRT0	1	16.46910222
MRT0	2	71.78390983
MRT0	3	99.23241353
MRT0	4	108.161679
MRT0	6	112.1453556
MRT0	8	113.3501749
MRT0	12	114.2246405
MRT0	16	113.7193937
QTT0	0	0
QTT0	1	66.56485635
QTT0	2	84.03168846
QTT0	3	98.85463396
QTT0	4	101.4317075
QTT0	6	102.9970411
QTT0	8	104.1519519
QTT0	12	104.0565047
QTT0	16	101.5366994
QTT0	0	0
QTT0	1	64.63768116
QTT0	2	89.3236715
QTT0	3	98.29951691
QTT0	4	100.4830918
QTT0	6	102.9468599
QTT0	8	104.821256
QTT0	12	102.4637681
QTT0	16	98.9178744
QTT0	0	0
QTT0	1	63.72858647
QTT0	2	91.99923438
QTT0	3	100.8708967
QTT0	4	103.5984305
QTT0	6	105.1488181
QTT0	8	106.8140492
QTT0	12	105.2349507
QTT0	16	98.69844004
AGT0	0	0
AGT0	1	5.691217015
AGT0	2	17.78259157
AGT0	3	41.90626231
AGT0	4	72.4005514
AGT0	6	108.6352895
AGT0	8	114.5431272
AGT0	12	115.8920835
AGT0	16	116.2957857
AGT0	0	0
AGT0	1	4.718847132
AGT0	2	15.55995102
AGT0	3	36.17782801
AGT0	4	68.06065744
AGT0	6	102.166337
AGT0	8	111.5286804
AGT0	12	112.8567392
AGT0	16	113.8739757
AGT0	0	0
AGT0	1	5.309133262
AGT0	2	19.93594099
AGT0	3	39.42541007
AGT0	4	69.63991071
AGT0	6	104.3482481
AGT0	8	111.4723867
AGT0	12	112.307095
AGT0	16	115.034456
CMT0	0	0
CMT0	1	12.43396596
CMT0	2	38.13343768
CMT0	3	74.59401291
CMT0	4	97.88691059
CMT0	6	117.8732146
CMT0	8	122.7450597
CMT0	12	122.7548425
CMT0	16	121.962434
CMT0	0	0
CMT0	1	12.18871595
CMT0	2	40.13618677
CMT0	3	75.22373541
CMT0	4	101.6245136
CMT0	6	121.8871595
CMT0	8	123.6867704
CMT0	12	121.2548638
CMT0	16	118.151751
CMT0	0	0
CMT0	1	12.71244052
CMT0	2	41.15761872
CMT0	3	80.80023308
CMT0	4	102.4278916
CMT0	6	120.8507332
CMT0	8	123.2689133
CMT0	12	122.064679
CMT0	16	120.1903467
CPT0	0	0
CPT0	1	34.76681394
CPT0	2	79.39126166
CPT0	3	102.6313206
CPT0	4	109.808542
CPT0	6	115.1202749
CPT0	8	117.820324
CPT0	12	115.4737359
CPT0	16	114.9631811
CPT0	0	0
CPT0	1	33.05866196
CPT0	2	80.15499313
CPT0	3	101.8638415
CPT0	4	109.7312144
CPT0	6	115.0480675
CPT0	8	116.8236217
CPT0	12	116.5195213
CPT0	16	115.1854032
CPT0	0	0
CPT0	1	33.03912916
CPT0	2	80.69039914
CPT0	3	102.5497695
CPT0	4	109.7185447
CPT0	6	114.7592429
CPT0	8	116.7206041
CPT0	12	111.4837697
CPT0	16	113.84721
PPT0	0	0
PPT0	1	3.347889374
PPT0	2	13.72149442
PPT0	3	38.12712276
PPT0	4	75.02183406
PPT0	6	104.7064532
PPT0	8	113.5371179
PPT0	12	112.149442
PPT0	16	109.9563319
PPT0	0	0
PPT0	1	2.743872669
PPT0	2	10.965726
PPT0	3	37.47680891
PPT0	4	70.76457377
PPT0	6	107.460209
PPT0	8	115.8480617
PPT0	12	114.4517137
PPT0	16	113.074895
PPT0	0	0
PPT0	1	3.032682304
PPT0	2	12.00314064
PPT0	3	38.93414467
PPT0	4	71.77348121
PPT0	6	107.1449603
PPT0	8	116.7042889
PPT0	12	109.2256355
PPT0	16	111.9540681
CVT0	0	0
CVT0	1	73.82142507
CVT0	2	101.9798099
CVT0	3	111.7024405
CVT0	4	115.6032539
CVT0	6	118.7003822
CVT0	8	120.5135744
CVT0	12	118.5435656
CVT0	16	113.5548368
CVT0	0	0
CVT0	1	75.02180021
CVT0	2	99.32177115
CVT0	3	108.3712819
CVT0	4	112.5763007
CVT0	6	115.6380196
CVT0	8	118.0311985
CVT0	12	116.8006976
CVT0	16	115.395795
CVT0	0	0
CVT0	1	74.99011467
CVT0	2	101.7793594
CVT0	3	111.4274417
CVT0	4	115.0257019
CVT0	6	117.5168051
CVT0	8	120.4527481
CVT0	12	116.4393041
CVT0	16	114.8675366
